stationcode,comid,masterid
SMC00440,22515786,SMC00440
412S00830,22518270,SMC00830
SMC00875,17567963,403S00875
404BA0852,20365057,404BA0852
408BA0836,17562598,408BA0836
801S00903,22559662,801S00903
801S02123,22555932,801S02123
SMC00670,22525749,SMC00670
903S00857,20342513,SMC00857
801S00899,20355328,SMC00899
412S02092,22514594,SMC02092
SMC00873,20348415,SMC00873
SMC02167,22555946,801S02167
903S02145,20341705,903S02145
SMC00910,20350539,SMC00910
SMC00911,17585780,SMC00911
SMC00924,22514774,SMC00924
SMC00926,22527363,SMC00926
SMC02127,17586736,SMC02127
SMC02174,22523261,SMC02174
TCTC1,20365153,TCTC1_nomatch
SMC00921,20341947,SMC00921
SMC01195,17567929,403S01195
845S00958,22525759,SMC00958
SMC00963,20350529,SMC00963
SMC01172,20365083,SMC01172
905S01174,20329182,SMC01174
SMC01196,22514614,SMC01196
SMC01201,20328602,SMC01201
SMC01208,22514892,SMC01208
405S01248,22522781,SMC01248
901S01257,20348363,SMC01257
SMC01707,17568571,403S01707
SMC01705,20348431,901S01705
SMC01096,22514578,SMC01096
SMC01258,948070399,SMC01258
903S01689,20341709,SMC01689
412S01692,948070459,SMC01692
SMC01694,22527375,SMC01694
SMC01716,22515806,SMC01716
SMC01726,22525751,SMC01726
SMC01748,163864411,SMC01748
SMC01784,17575785,403S01784
801S01783,22555344,801S01783
801S01805,22560368,801S01805
SMC01811,20348641,901S01811
SMC01814,20341999,904S01814
SMC01818,20325007,911S01818
405S01260,22524847,SMC01260
SMC01278,22524991,SMC01278
SMC01320,22515726,SMC01320
412S01772,22515008,SMC01772
801S01367,22554808,801S01367
SMC01383,22557906,801S01383
SJC506,1894560,SJC506_nomatch
SMC01341,22563072,SMC01341
SJBL1,20348295,SJBL1_nomatch
SJC,20348439,SJC_nomatch
SJC503,2819626,SJC503_nomatch
412S01358,22518272,SMC01358
SMC01384,20365093,SMC01384
903S01413,20343191,SMC01413
SWJP1,20332702,909JPCH79
SWSW1,20334686,909SWR94x
SWSW2,20332758,SWSW2_nomatch
SJC514,948040227,SJC514_nomatch
SJC515,3953087,SJC515_nomatch
SJC524,1897396,SJC524_nomatch
SYFG1,17607653,SYFG1_nomatch
SYHC1,17611429,SYHC1_nomatch
SYHC2,17610507,SYHC2_nomatch
SYOS1,17610657,SYOS1_nomatch
NF508723-046,14982850,514MLE046
NF508723-050,8057807,517SLT050
NF508723-070,8040831,518CLD070
VENTURA10,17586460,VENTURA10_nomatch
VENTURA11,17586460,VENTURA11_nomatch
VENTURA14,17585800,VENTURA14
VENTURA15,17586736,VENTURA15_nomatch
VENTURA2,17586936,VENTURA2_nomatch
VENTURA4,948070372,VENTURA4_nomatch
VENTURA5,17586842,VENTURA5_nomatch
105PS0090,8258405,105PS0090
106PS0022,8232312,106PS0022
107PS0021,8315591,107PS0021
114PS0088,8270989,114PS0088
404BA0964,20365103,404BA0964
NF508723-081,2764474,507BTC081
526PS0344,7926449,526PS0344
NF508723-078,20195400,532MKN078
NF508723-077,20295535,637SSN077
SMC00457,20342525,SMC00457
105PS0107,3798105,105PS0107
105PS0193,4438928,105PS0193
106PS0106,8244186,106PS0106
106PS0115,8242116,106PS0115
106PS0186,8235108,106PS0186
110PS0114,8317105,110PS0114
