stationcode,sampledate,result,masterid,latitude,longitude,huc,county,smcshed
408M03052,2017-05-30T07:00:00Z,0.5565026882455788,408M03052,34.18063,-119.1039,408,Ventura,Calleguas
412CE0232,2017-05-31T07:00:00Z,0.4128064999206183,412CE0232,34.15907,-118.45624,412,Los Angeles,Los Angeles
412M08627,2017-05-17T07:00:00Z,0.2782935844138695,412M08627,33.86326,-118.19655,412,Los Angeles,Los Angeles
412M08630,2017-05-17T07:00:00Z,0.7235712230666634,412M08630,34.05961,-118.08902,412,Los Angeles,Los Angeles
412M08632,2017-05-17T07:00:00Z,0.3718122069119604,412M08632,34.23834,-118.6077,412,Los Angeles,Los Angeles
412WE0552,2017-05-24T07:00:00Z,0.9221658501444662,412WE0552,34.23908,-118.18059,412,Los Angeles,Los Angeles
801M12665,2017-05-18T07:00:00Z,0.6258285403118318,801M12665,33.64903,-117.69704,801,Orange,Lower Santa Ana
801M12652,2017-05-18T07:00:00Z,0.9384648429354691,801M12652,33.71785,-117.997,801,Orange,Lower Santa Ana
SMC13508,2015-06-24T07:00:00Z,0.5266855075447806,ME-CC,34.17982,-119.04215,408,Ventura,Calleguas
801M12669,2017-06-29T07:00:00Z,0.9011403308844259,801M12669,33.69499,-117.85583,801,Orange,Lower Santa Ana
801M16932,2017-05-31T07:00:00Z,0.3462129447400529,801M16932,33.94279,-117.32362,801,Riverside,Middle Santa Ana
801M16949,2017-05-31T07:00:00Z,0.7174628795483021,801M16949,33.8732,-117.44195,801,Riverside,Middle Santa Ana
901M14137,2017-06-20T07:00:00Z,0.8539636061089831,901M14137,33.49418,-117.71659,901,Orange,San Juan
901M14138,2017-06-20T07:00:00Z,0.4881706894811758,901M14138,33.57688,-117.63999,901,Orange,San Juan
902M18893,2017-05-18T07:00:00Z,0.5956081378103418,902M18893,33.45304,-117.17403,902,Riverside,Northern San Diego
902WE0888,2017-06-14T07:00:00Z,0.7392014424392627,902WE0888,33.45407,-117.30182,902,San Diego,Northern San Diego
