stationcode,sampledate,csci,comid,masterid
541OC0010,2004-05-20T07:00:00Z,0.46782208,2828012,541OC0010
541OC0010,2006-05-24T07:00:00Z,0.67569485,2828012,541OC0010
541OC0010,2011-06-15T07:00:00Z,0.59951928,2828012,541OC0010
541PS0055,2008-06-18T07:00:00Z,0.28769635,19771435,541PS0055
541PS0055,2008-07-10T07:00:00Z,0.30878959,19771435,541PS0055
105WE0630,2004-05-17T07:00:00Z,0.80778368,4442442,105WE0630
105WE0630,2000-09-11T07:00:00Z,0.20599459,4442442,105WE0630
105WE0756,2002-07-31T07:00:00Z,0.96041855,8265758,105WE0756
105WE0756,2002-07-31T07:00:00Z,0.92670877,8265758,105WE0756
105WE0756,2001-08-21T07:00:00Z,0.93756517,8265758,105WE0756
105WE0756,2001-08-21T07:00:00Z,0.72906387,8265758,105WE0756
105WE0756,2001-08-21T07:00:00Z,0.98291744,8265758,105WE0756
105WE0756,2002-09-26T07:00:00Z,0.56740072,8265758,105WE0756
105WE0756,2002-09-26T07:00:00Z,1.0496277,8265758,105WE0756
105WE0756,2001-09-27T07:00:00Z,0.99345564,8265758,105WE0756
105WE0756,2001-09-27T07:00:00Z,0.8522851,8265758,105WE0756
105WE0756,2001-09-27T07:00:00Z,0.85714597,8265758,105WE0756
105WE0761,2001-10-02T07:00:00Z,1.05647777,4439464,105WE0761
105WE0761,2001-10-02T07:00:00Z,1.01231857,4439464,105WE0761
105WE0761,2001-10-02T07:00:00Z,1.02544935,4439464,105WE0761
105WE0811,2001-07-31T07:00:00Z,0.99844298,4439748,105WE0811
105WE0811,2001-07-31T07:00:00Z,0.94688087,4439748,105WE0811
105WE0811,2001-07-31T07:00:00Z,0.90963074,4439748,105WE0811
105WE0811,2015-08-18T07:00:00Z,1.07344359,4439748,105WE0811
105WE0833,2001-08-15T07:00:00Z,0.95393614,362083,105WE0833
105WE0845,2001-09-26T07:00:00Z,1.30574603,359295,105WE0845
105WE0845,2001-09-26T07:00:00Z,1.27646189,359295,105WE0845
105WE0845,2001-09-26T07:00:00Z,1.30936703,359295,105WE0845
105WE0857,2003-08-26T07:00:00Z,1.19074352,360321,105WE0857
105WE0857,2003-08-26T07:00:00Z,1.21961275,360321,105WE0857
105WE1000,2002-07-17T07:00:00Z,0.7061928,3917934,105WE1000
105WE1000,2002-07-17T07:00:00Z,0.76341527,3917934,105WE1000
105WE1005,2002-08-21T07:00:00Z,1.06687131,4442008,105WE1005
105WE1005,2002-08-21T07:00:00Z,1.01602355,4442008,105WE1005
105WE1060,2002-08-22T07:00:00Z,0.74123021,4441290,105WE1060
105WE1060,2002-08-22T07:00:00Z,0.92261597,4441290,105WE1060
105WE1064,2002-07-16T07:00:00Z,0.87108482,362285,105WE1064
105WE1064,2002-07-16T07:00:00Z,0.92132865,362285,105WE1064
105WE1067,2002-07-10T07:00:00Z,1.08207266,3801139,105WE1067
105WE1067,2002-07-10T07:00:00Z,1.15396904,3801139,105WE1067
105WE1091,2015-07-14T07:00:00Z,0.89619042,8259115,105WE1091
105WE1091,2002-08-13T07:00:00Z,1.04387888,8259115,105WE1091
105WE1091,2002-08-13T07:00:00Z,0.98413623,8259115,105WE1091
105WER052,2003-08-27T07:00:00Z,1.04345655,8257797,105WER052
105WER052,2003-08-27T07:00:00Z,1.04452896,8257797,105WER052
105WLC135,2013-08-07T07:00:00Z,0.76259544,2556363,105WLC135
105WLCABC,2011-08-03T07:00:00Z,1.09807259,8257397,105WLCABC
106CE0217,2006-07-12T07:00:00Z,0.9614997,8232760,106CE0217
106CE0217,2006-07-12T07:00:00Z,1.03322994,8232760,106CE0217
106CE0257,2006-07-11T07:00:00Z,1.07436309,8234706,106CE0257
106CE0257,2006-07-11T07:00:00Z,1.01850203,8234706,106CE0257
106CE0377,2007-08-15T07:00:00Z,1.02078665,8232498,106CE0377
106CE0377,2007-08-15T07:00:00Z,0.90467961,8232498,106CE0377
106CE0521,2006-07-20T07:00:00Z,0.98934729,8241182,106CE0521
106CE0521,2006-07-20T07:00:00Z,0.99145631,8241182,106CE0521
106CE0577,2006-07-13T07:00:00Z,1.08167808,8245974,106CE0577
106CE0577,2006-07-13T07:00:00Z,1.16870066,8245974,106CE0577
106CE0713,2007-08-13T07:00:00Z,1.19696354,8246412,106CE0713
106CE0713,2007-08-13T07:00:00Z,1.26239118,8246412,106CE0713
106FC1183,2014-07-24T07:00:00Z,0.98237221,8246442,106FC1183
106FC1313,2014-07-23T07:00:00Z,1.06612028,8245598,106FC1313
106FCA008,2009-06-23T07:00:00Z,0.86386966,8232456,106FCA008
106FCA036,2009-06-22T07:00:00Z,1.18622556,8245698,106FCA036
106FCA036,2013-07-15T07:00:00Z,0.75101673,8245698,106FCA036
106FS0040,2011-08-30T07:00:00Z,1.18122137,8235250,106FS0040
106HLCACC,2013-09-23T07:00:00Z,1.1006555,8241296,106HLCACC
106PS0022,2008-09-30T07:00:00Z,1.12778867,8232312,106PS0022
106PS0051,2008-09-16T07:00:00Z,0.93810062,8242694,106PS0051
106PS0078,2009-08-26T07:00:00Z,0.36193936,8232714,106PS0078
106PS0106,2009-09-08T07:00:00Z,1.13040558,8244186,106PS0106
106PS0115,2010-09-21T07:00:00Z,0.99400521,8242116,106PS0115
541SS1xxx,2009-04-23T07:00:00Z,0.4456317,19777307,541SS1xxx
541SS1xxx,2012-04-27T07:00:00Z,0.19653333,19777307,541SS1xxx
541SS1xxx,2008-05-08T07:00:00Z,0.44783149,19777307,541SS1xxx
541SS1xxx,2002-05-12T07:00:00Z,0.47022154,19777307,541SS1xxx
541SS1xxx,2005-05-12T07:00:00Z,0.40112192,19777307,541SS1xxx
541SS1xxx,2001-05-15T07:00:00Z,0.52851883,19777307,541SS1xxx
541SS1xxx,2007-05-18T07:00:00Z,0.42496453,19777307,541SS1xxx
541SS1xxx,2004-05-20T07:00:00Z,0.45232399,19777307,541SS1xxx
541SS1xxx,2003-05-23T07:00:00Z,0.46700444,19777307,541SS1xxx
541SS1xxx,2010-06-13T07:00:00Z,0.33729094,19777307,541SS1xxx
106PS0122,2010-09-20T07:00:00Z,1.01961252,8242294,106PS0122
106PS0124,2010-08-16T07:00:00Z,1.1162462,8235234,106PS0124
106PS0142,2010-07-19T07:00:00Z,1.04486033,8234706,106PS0142
106PS0166,2011-08-02T07:00:00Z,1.0758337,8241184,106PS0166
106PS0173,2011-08-04T07:00:00Z,1.12172067,8234928,106PS0173
106PS0186,2012-09-26T07:00:00Z,1.21268073,8235108,106PS0186
106PS0307,2016-06-16T07:00:00Z,0.79041262,8242034,106PS0307
106PS0334,2017-06-22T07:00:00Z,1.21809997,8232482,106PS0334
106WE0505,2014-07-21T07:00:00Z,0.95705797,8245608,106WE0505
106WE0505,2000-08-09T07:00:00Z,1.02203864,8245608,106WE0505
106WE0505,2000-08-09T07:00:00Z,1.04834554,8245608,106WE0505
106WE0505,2000-08-09T07:00:00Z,0.9483194,8245608,106WE0505
106WE0505,2018-09-04T07:00:00Z,1.16024095,8245608,106WE0505
106WE0505,2001-09-05T07:00:00Z,0.98683245,8245608,106WE0505
106WE0505,2001-09-05T07:00:00Z,1.01399455,8245608,106WE0505
106WE0505,2001-09-05T07:00:00Z,0.83687275,8245608,106WE0505
