stationcode,sampledate,asci,comid,masterid
204R00191,2012-05-29T07:00:00Z,0.7572055585540202,2806459,204R00191
105CR0913,2014-08-12T07:00:00Z,0.49943157110095315,362143,105CR0913
105CR1004,2014-07-23T07:00:00Z,0.5939856388583414,4442642,105CR1004
517FC1248,2014-06-17T07:00:00Z,1.122885388240543,8058013,517FC1248
106FC1183,2014-07-24T07:00:00Z,0.9305707842737437,8246442,106FC1183
631FC1099,2014-07-09T07:00:00Z,0.7413668430524963,10744456,631FC1099
520FC1108,2014-06-24T07:00:00Z,1.0242975188036387,2847191,520FC1108
509ICPPCX,2008-07-30T07:00:00Z,0.828017294631509,8020488,509ICPPCX
535CR1042,2014-06-19T07:00:00Z,0.7525992867513728,2833552,535CR1042
531CR1047,2014-06-09T07:00:00Z,1.053348825065831,3953581,531CR1047
206FC1339,2014-05-29T07:00:00Z,0.6259314750792232,1668187,206FC1339
603CR1048,2014-09-16T07:00:00Z,0.6199114764834343,20276389,603CR1048
552FC1226,2014-06-03T07:00:00Z,0.9102452983300143,22047753,552FC1226
517FCA139,2014-06-18T07:00:00Z,0.9715103318329021,8058193,517FCA139
907M23343,2017-06-27T07:00:00Z,0.45083658786632774,20334438,907M23343
907M23346,2017-06-15T07:00:00Z,0.8880159657549043,20330010,907M23346
907M23362,2017-05-09T07:00:00Z,0.7415815273343601,20332438,907M23362
910M24924,2017-05-05T07:00:00Z,0.3557148356156092,20331700,910M24924
911M24934,2017-04-04T07:00:00Z,0.9449280102872307,20325165,911M24934
911M24945,2017-04-04T07:00:00Z,1.113598681042209,20325199,911M24945
103FC1106,2014-07-15T07:00:00Z,0.7802933731832197,22226634,103FC1106
545CR1002,2014-09-02T07:00:00Z,0.6885995746042722,19797469,545CR1002
908M24952,2019-05-28T07:00:00Z,NA,20331550,908M24952
541CR1006,2014-06-17T07:00:00Z,0.35110026111641734,2820096,541CR1006
801FC1089,2014-05-20T07:00:00Z,0.3925470781991002,22563072,801FC1089
532FC1181,2014-06-05T07:00:00Z,0.8744742842952696,20196232,532FC1181
544CR1040,2014-06-10T07:00:00Z,0.7818832683075271,1909502,544CR1040
518FC1060,2014-09-18T07:00:00Z,0.7791755369450466,8027284,518FC1060
505FC1275,2014-07-31T07:00:00Z,0.8286551045112299,7961193,505FC1275
535CR0910,2014-06-18T07:00:00Z,1.0209341291162766,2820014,535CR0910
535CR1051,2014-06-25T07:00:00Z,1.0040967111269863,2820002,535CR1051
532FC1271,2014-07-10T07:00:00Z,1.1303209427263696,17053944,532FC1271
105FC1116,2014-08-05T07:00:00Z,1.1271466891369148,2557043,105FC1116
205R00218,2012-05-23T07:00:00Z,0.7264743662621929,948050176,205R00218
SGLT506,2017-06-21T07:00:00Z,0.5075657430330593,22524847,SGLT506
SMC00208,2017-07-21T07:00:00Z,0.5323548176117612,22522805,SMC00208
801MHC219,2014-06-24T07:00:00Z,0.9330745302671866,22558904,801MHC219
801SAR124,2014-06-17T07:00:00Z,0.7248447088100601,22558296,801SAR124
507DCABSF,2014-10-22T07:00:00Z,0.7964504960447606,2766674,507DCABSF
507DCBLLB,2014-10-22T07:00:00Z,0.9935689359633705,2766676,507DCBLLB
514PCASMR,2014-10-29T07:00:00Z,1.0281905649791543,14997609,514PCASMR
514PCAPCR,2014-10-29T07:00:00Z,1.0639250913557272,14997513,514PCAPCR
507RCBLPF,2014-10-21T07:00:00Z,0.6982334374381475,2765992,507RCBLPF
507RCABRS,2014-10-21T07:00:00Z,0.6841515964843771,2766672,507RCABRS
507SPIMBL,2015-09-01T07:00:00Z,0.8788643135466756,2765910,507SPIMBL
507SPIUBL,2015-09-01T07:00:00Z,0.9679061713061378,2765910,507SPIUBL
SMC02680,2014-06-03T07:00:00Z,0.7860875150871971,22514854,SMC02680
507DCABSF,2015-08-31T07:00:00Z,1.037759150866346,2766674,507DCABSF
507DCBLLB,2015-08-31T07:00:00Z,1.076076224952182,2766676,507DCBLLB
507SPISFD,2015-09-03T07:00:00Z,1.0644136692081256,2766022,507SPISFD
525SPIHZL,2015-09-09T07:00:00Z,0.8368066215637787,7965057,525SPIHZL
536SPIUJW,2015-09-09T07:00:00Z,0.8342495491229704,17081327,536SPIUJW
